idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
20	circle_jumprelu_t24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t24_seed2	circle	jumprelu	24	0.0002	24.91	2
21	circle_jumprelu_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed0	circle	jumprelu	32	0.0001	32.93	0
22	circle_jumprelu_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed1	circle	jumprelu	32	0.0001	32.93	1
23	circle_jumprelu_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed2	circle	jumprelu	32	0.0001	32.93	2
24	helix_relu_l1_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t08_seed0	helix	relu_l1	8	0.2	8.61	0
25	helix_relu_l1_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t08_seed1	helix	relu_l1	8	0.2	8.61	1
26	helix_relu_l1_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t08_seed2	helix	relu_l1	8	0.2	8.61	2
27	helix_relu_l1_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t16_seed0	helix	relu_l1	16	0.15	16.19	0
28	helix_relu_l1_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t16_seed1	helix	relu_l1	16	0.15	16.19	1
29	helix_relu_l1_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t16_seed2	helix	relu_l1	16	0.15	16.19	2
