idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
87	torus_jumprelu_l0_3e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_3e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_3e-03_seed0	torus	jumprelu	l0_coeff	0.003	0
88	torus_jumprelu_l0_3e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_3e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_3e-03_seed1	torus	jumprelu	l0_coeff	0.003	1
89	torus_jumprelu_l0_3e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_3e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_3e-03_seed2	torus	jumprelu	l0_coeff	0.003	2
90	torus_jumprelu_l0_5e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_5e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_5e-03_seed0	torus	jumprelu	l0_coeff	0.005	0
91	torus_jumprelu_l0_5e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_5e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_5e-03_seed1	torus	jumprelu	l0_coeff	0.005	1
92	torus_jumprelu_l0_5e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_5e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_5e-03_seed2	torus	jumprelu	l0_coeff	0.005	2
93	torus_jumprelu_l0_7e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_7e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_7e-03_seed0	torus	jumprelu	l0_coeff	0.007	0
94	torus_jumprelu_l0_7e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_7e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_7e-03_seed1	torus	jumprelu	l0_coeff	0.007	1
95	torus_jumprelu_l0_7e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_7e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_7e-03_seed2	torus	jumprelu	l0_coeff	0.007	2
96	sphere_relu_l1_l1_1e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-04_seed0	sphere	relu_l1	l1_coeff	0.0001	0
97	sphere_relu_l1_l1_1e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-04_seed1	sphere	relu_l1	l1_coeff	0.0001	1
